termino,categoria
# AMENAZAS Y VIOLENCIA - Alto riesgo,
matar,palabras_alta
asesinar,palabras_alta
eliminar,palabras_alta
acabar contigo,palabras_alta
te voy a matar,palabras_alta
vas a morir,palabras_alta
muerte,palabras_alta
muerto,palabras_alta
cadáver,palabras_alta
sangre,palabras_alta
violencia,palabras_alta
golpear,palabras_alta
pegar,palabras_alta
golpes,palabras_alta
paliza,palabras_alta
torturar,palabras_alta
tortura,palabras_alta
destruir,palabras_alta
quemar,palabras_alta
incendiar,palabras_alta
bomba,palabras_alta
explotar,palabras_alta
arma,palabras_alta
pistola,palabras_alta
cuchillo,palabras_alta
navaja,palabras_alta
veneno,palabras_alta
envenenar,palabras_alta
# AMENAZAS Y VIOLENCIA - Riesgo medio,
amenaza,palabras_media
amenazar,palabras_media
intimidar,palabras_media
intimidación,palabras_media
asustar,palabras_media
miedo,palabras_media
terror,palabras_media
pánico,palabras_media
lastimar,palabras_media
dañar,palabras_media
herir,palabras_media
dolor,palabras_media
sufrir,palabras_media
sufrimiento,palabras_media
castigo,palabras_media
castigar,palabras_media
venganza,palabras_media
vengar,palabras_media
pagar caro,palabras_media
te arrepentirás,palabras_media
lo lamentarás,palabras_media
consecuencias,palabras_media
precio,palabras_media
ajuste de cuentas,palabras_media
# CYBERBULLYING - Alto riesgo,
idiota,palabras_alta
estúpido,palabras_alta
estúpida,palabras_alta
imbécil,palabras_alta
retrasado,palabras_alta
retrasada,palabras_alta
inútil,palabras_alta
basura,palabras_alta
escoria,palabras_alta
lacra,palabras_alta
patético,palabras_alta
patética,palabras_alta
perdedor,palabras_alta
perdedora,palabras_alta
fracasado,palabras_alta
fracasada,palabras_alta
nadie te quiere,palabras_alta
todos te odian,palabras_alta
eres repugnante,palabras_alta
das asco,palabras_alta
vete a morir,palabras_alta
ojalá te mueras,palabras_alta
no sirves para nada,palabras_alta
eres un cero,palabras_alta
eres una rata,palabras_alta
cucaracha,palabras_alta
gusano,palabras_alta
# CYBERBULLYING - Riesgo medio,
burla,palabras_media
burlarse,palabras_media
reírse de ti,palabras_media
humillar,palabras_media
humillación,palabras_media
ridículo,palabras_media
ridícula,palabras_media
vergüenza,palabras_media
vergonzoso,palabras_media
vergonzosa,palabras_media
raro,palabras_media
rara,palabras_media
rarito,palabras_media
rarita,palabras_media
fenómeno,palabras_media
bicho raro,palabras_media
inadaptado,palabras_media
inadaptada,palabras_media
antisocial,palabras_media
extraño,palabras_media
extraña,palabras_media
diferente,palabras_media
anormal,palabras_media
loco,palabras_media
loca,palabras_media
chiflado,palabras_media
chiflada,palabras_media
# DROGAS - Alto riesgo,
cocaína,palabras_alta
coca,palabras_alta
perico,palabras_alta
polvo,palabras_alta
nieve,palabras_alta
blanca,palabras_alta
heroína,palabras_alta
caballo,palabras_alta
jaco,palabras_alta
marihuana,palabras_alta
hierba,palabras_alta
maría,palabras_alta
mota,palabras_alta
porro,palabras_alta
canuto,palabras_alta
churro,palabras_alta
éxtasis,palabras_alta
pastillas,palabras_alta
mdma,palabras_alta
cristal,palabras_alta
metanfetamina,palabras_alta
speed,palabras_alta
anfetas,palabras_alta
lsd,palabras_alta
ácido,palabras_alta
tripi,palabras_alta
keta,palabras_alta
ketamina,palabras_alta
fentanilo,palabras_alta
# DROGAS - Riesgo medio,
mercancía,palabras_media
producto,palabras_media
material,palabras_media
cosa,palabras_media
eso,palabras_media
aquello,palabras_media
paquete,palabras_media
bolsa,palabras_media
sobre,palabras_media
gramo,palabras_media
medio,palabras_media
cuarto,palabras_media
onza,palabras_media
kilo,palabras_media
dosis,palabras_media
toque,palabras_media
jalón,palabras_media
pase,palabras_media
raya,palabras_media
línea,palabras_media
chute,palabras_media
pico,palabras_media
viaje,palabras_media
vuelo,palabras_media
colocón,palabras_media
# INFIDELIDAD - Alto riesgo,
aventura,palabras_alta
amante,palabras_alta
engaño,palabras_alta
engañar,palabras_alta
traición,palabras_alta
traicionar,palabras_alta
cuernos,palabras_alta
infiel,palabras_alta
infidelidad,palabras_alta
otro hombre,palabras_alta
otra mujer,palabras_alta
me acosté con,palabras_alta
me tiré a,palabras_alta
estoy con otro,palabras_alta
estoy con otra,palabras_alta
tengo a alguien más,palabras_alta
doble vida,palabras_alta
segunda relación,palabras_alta
mi novio no sabe,palabras_alta
mi novia no sabe,palabras_alta
mi esposo no sabe,palabras_alta
mi esposa no sabe,palabras_alta
# INFIDELIDAD - Riesgo medio,
secreto,palabras_media
ocultar,palabras_media
esconder,palabras_media
mentir,palabras_media
mentira,palabras_media
coartada,palabras_media
excusa,palabras_media
trabajo tarde,palabras_media
reunión de trabajo,palabras_media
viaje de negocios,palabras_media
salida con amigos,palabras_media
no puedo hablar,palabras_media
estoy ocupado,palabras_media
estoy ocupada,palabras_media
después hablamos,palabras_media
no es buen momento,palabras_media
estoy en reunión,palabras_media
mi pareja está aquí,palabras_media
# ROBO Y ESTAFAS - Alto riesgo,
robar,palabras_alta
robo,palabras_alta
estafa,palabras_alta
estafar,palabras_alta
fraude,palabras_alta
defraudar,palabras_alta
timo,palabras_alta
timar,palabras_alta
hurto,palabras_alta
hurtar,palabras_alta
apropiarse,palabras_alta
